Date, ERA5 2m Air Temperature (K) 10N-20N;30E-40E
2016-11-01,  300.351
2016-12-01,  297.635
2017-01-01,  297.839
2017-02-01,  296.785
2017-03-01,  300.435
2017-04-01,  303.513
2017-05-01,  303.586
2017-06-01,  304.014
2017-07-01,  302.582
2017-08-01,  301.850
2017-09-01,  301.991
2017-10-01,  301.737
2017-11-01,  299.576
2017-12-01,  298.231
2018-01-01,  295.286
2018-02-01,  299.952
2018-03-01,  301.356
2018-04-01,  302.372
2018-05-01,  304.110
2018-06-01,  303.109
2018-07-01,  301.653
2018-08-01,  300.921
2018-09-01,  301.794
2018-10-01,  301.765
2018-11-01,  299.257
2018-12-01,  296.723
2019-01-01,  297.537
2019-02-01,  298.448
2019-03-01,  299.721
2019-04-01,  302.642
2019-05-01,  304.508
2019-06-01,  302.853
2019-07-01,  302.398
2019-08-01,  300.389
2019-09-01,  301.845
2019-10-01,  300.647
2019-11-01,  299.671
2019-12-01,  296.862
2020-01-01,  294.394
2020-02-01,  296.702
2020-03-01,  300.487
2020-04-01,  302.674
2020-05-01,  303.963
2020-06-01,  303.760
2020-07-01,  301.928
2020-08-01,  300.431
2020-09-01,  302.025
2020-10-01,  301.730
2020-11-01,  299.036
2020-12-01,  297.879
2021-01-01,  295.449
2021-02-01,  296.200
2021-03-01,  300.996
2021-04-01,  302.544
2021-05-01,  303.579
2021-06-01,  304.682
2021-07-01,  301.921
2021-08-01,  302.010
2021-09-01,  301.991
2021-10-01,  302.028
2021-11-01,  300.093
2021-12-01,  297.150
2022-01-01,  295.449
2022-02-01,  296.200
2022-03-01,  299.942
2022-04-01,  304.273
2022-05-01,  304.953
2022-06-01,  304.219
2022-07-01,  301.597
2022-08-01,  300.573
2022-09-01,  301.751
2022-10-01,  301.333
2022-11-01,  299.337
2022-12-01,  296.715
2023-01-01,  296.340
2023-02-01,  297.245
2023-03-01,  300.049
2023-04-01,  302.694
2023-05-01,  304.237
2023-06-01,  303.966
2023-07-01,  303.944
2023-08-01,  303.314
2023-09-01,  303.940
2023-10-01,  303.165
2023-11-01,  301.009
2023-12-01,  297.952
